state	city	Alcohol Abuse Total Death of that State	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree
Michigan	Marquette	4548.0	91.96	31.67	12.48
Michigan	Marquette	4548.0	91.96	31.67	12.48
Michigan	Mason/Dansville	4548.0	91.96	31.67	12.48
Michigan	Meadville	4548.0	91.96	31.67	12.48
Michigan	Memphis	4548.0	91.96	31.67	12.48
Michigan	Metamora	4548.0	91.96	31.67	12.48
Michigan	Metamora	4548.0	91.96	31.67	12.48
Michigan	Michigan Center	4548.0	91.96	31.67	12.48
Michigan	Middleville	4548.0	91.96	31.67	12.48
Michigan	midland	4548.0	91.96	31.67	12.48
Michigan	Midland	4548.0	91.96	31.67	12.48
Michigan	Midland	4548.0	91.96	31.67	12.48
Michigan	Midland	4548.0	91.96	31.67	12.48
Michigan	Midland	4548.0	91.96	31.67	12.48
Michigan	Milan	4548.0	91.96	31.67	12.48
Michigan	Milan	4548.0	91.96	31.67	12.48
Michigan	Milan	4548.0	91.96	31.67	12.48
Michigan	Millington	4548.0	91.96	31.67	12.48
Michigan	Millington	4548.0	91.96	31.67	12.48
Michigan	Millington	4548.0	91.96	31.67	12.48
Michigan	Monroe	4548.0	91.96	31.67	12.48
Michigan	Montague	4548.0	91.96	31.67	12.48
Michigan	Mount Clemens	4548.0	91.96	31.67	12.48
Michigan	Mount Clemens	4548.0	91.96	31.67	12.48
Michigan	Mount Morris	4548.0	91.96	31.67	12.48
Michigan	Mount Pleasant	4548.0	91.96	31.67	12.48
Michigan	Mount Pleasant	4548.0	91.96	31.67	12.48
Michigan	Mount Pleasant	4548.0	91.96	31.67	12.48
Michigan	Mount Pleasant	4548.0	91.96	31.67	12.48
Michigan	Mount Pleasant	4548.0	91.96	31.67	12.48
Michigan	Mount Pleasant	4548.0	91.96	31.67	12.48
Michigan	Mount Pleasant	4548.0	91.96	31.67	12.48
Michigan	Muskegon	4548.0	91.96	31.67	12.48
Michigan	Muskegon	4548.0	91.96	31.67	12.48
Michigan	Muskegon	4548.0	91.96	31.67	12.48
Michigan	Muskegon	4548.0	91.96	31.67	12.48
Michigan	Nashville	4548.0	91.96	31.67	12.48
Michigan	Nashville	4548.0	91.96	31.67	12.48
Michigan	New Baltimore	4548.0	91.96	31.67	12.48
Michigan	Newberry	4548.0	91.96	31.67	12.48
Michigan	New Lathrup	4548.0	91.96	31.67	12.48
Michigan	Niles	4548.0	91.96	31.67	12.48
Michigan	Niles	4548.0	91.96	31.67	12.48
Michigan	Niles	4548.0	91.96	31.67	12.48
Michigan	Niles	4548.0	91.96	31.67	12.48
Michigan	North Street	4548.0	91.96	31.67	12.48
Michigan	Northville	4548.0	91.96	31.67	12.48
Michigan	Northville	4548.0	91.96	31.67	12.48
Michigan	Novi	4548.0	91.96	31.67	12.48
Michigan	Novi	4548.0	91.96	31.67	12.48
Michigan	Novi	4548.0	91.96	31.67	12.48
Michigan	Nunica	4548.0	91.96	31.67	12.48
Michigan	Nunica	4548.0	91.96	31.67	12.48
Michigan	Oakland	4548.0	91.96	31.67	12.48
Michigan	Oakland	4548.0	91.96	31.67	12.48
Michigan	Oakland	4548.0	91.96	31.67	12.48
Michigan	Oakland	4548.0	91.96	31.67	12.48
Michigan	Oakland county	4548.0	91.96	31.67	12.48
Michigan	Osceola	4548.0	91.96	31.67	12.48
Michigan	Olivet	4548.0	91.96	31.67	12.48
Michigan	Olivet	4548.0	91.96	31.67	12.48
Michigan	Olivet	4548.0	91.96	31.67	12.48
Michigan	Omer	4548.0	91.96	31.67	12.48
Michigan	Ortonville	4548.0	91.96	31.67	12.48
Michigan	Ossineke	4548.0	91.96	31.67	12.48
Michigan	Otsego	4548.0	91.96	31.67	12.48
Michigan	Owosso	4548.0	91.96	31.67	12.48
Michigan	Owosso	4548.0	91.96	31.67	12.48
Michigan	Owosso	4548.0	91.96	31.67	12.48
Michigan	Owosso	4548.0	91.96	31.67	12.48
Michigan	Oxford	4548.0	91.96	31.67	12.48
Michigan	Paulding	4548.0	91.96	31.67	12.48
Michigan	Paulding	4548.0	91.96	31.67	12.48
Michigan	Pelkie	4548.0	91.96	31.67	12.48
Michigan	Petoskey	4548.0	91.96	31.67	12.48
Michigan	Petoskey	4548.0	91.96	31.67	12.48
Michigan	Petoskey	4548.0	91.96	31.67	12.48
Michigan	Pinckney	4548.0	91.96	31.67	12.48
Michigan	Pinckney	4548.0	91.96	31.67	12.48
Michigan	Pinerun	4548.0	91.96	31.67	12.48
Michigan	Pittsford	4548.0	91.96	31.67	12.48
Michigan	Plainwell	4548.0	91.96	31.67	12.48
Michigan	Plainwell	4548.0	91.96	31.67	12.48
Michigan	Plainwell	4548.0	91.96	31.67	12.48
Michigan	Plymouth	4548.0	91.96	31.67	12.48
Michigan	Plymouth	4548.0	91.96	31.67	12.48
Michigan	Plymouth	4548.0	91.96	31.67	12.48
Michigan	Plymouth	4548.0	91.96	31.67	12.48
Michigan	Pontiac	4548.0	91.96	31.67	12.48
Michigan	Pontiac	4548.0	91.96	31.67	12.48
Michigan	Pontiac	4548.0	91.96	31.67	12.48
Michigan	Pontiac	4548.0	91.96	31.67	12.48
Michigan	Port Huron	4548.0	91.96	31.67	12.48
Michigan	Port Huron	4548.0	91.96	31.67	12.48
Michigan	Port Huron	4548.0	91.96	31.67	12.48
Michigan	Portland	4548.0	91.96	31.67	12.48
Michigan	Presque Isle	4548.0	91.96	31.67	12.48
Michigan	Presque Isle	4548.0	91.96	31.67	12.48
Michigan	Redford	4548.0	91.96	31.67	12.48
Michigan	Redford	4548.0	91.96	31.67	12.48
Michigan	Redford	4548.0	91.96	31.67	12.48
Michigan	Reed City	4548.0	91.96	31.67	12.48
Michigan	Richland	4548.0	91.96	31.67	12.48
Michigan	Richfield township	4548.0	91.96	31.67	12.48
Michigan	Riverview	4548.0	91.96	31.67	12.48
Michigan	Riverview	4548.0	91.96	31.67	12.48
Michigan	Roberts Landing	4548.0	91.96	31.67	12.48
Michigan	Rochester	4548.0	91.96	31.67	12.48
Michigan	Rochester	4548.0	91.96	31.67	12.48
Michigan	Rochester Hills	4548.0	91.96	31.67	12.48
Michigan	Rochester Hills	4548.0	91.96	31.67	12.48
Michigan	Rochester Hills	4548.0	91.96	31.67	12.48
Michigan	Rockford	4548.0	91.96	31.67	12.48
Michigan	Rockford	4548.0	91.96	31.67	12.48
