Time of Day	Event type	state	Combined_Evidence	Witness_Count_Group
Unknown	Ghostly Sightings	Pennsylvania	Both	0
night	Violent or Tragic Deaths	Pennsylvania	Audio Only	0
Unknown	Murder	Pennsylvania	None	0
night	Violent or Tragic Deaths	Pennsylvania	None	1
Unknown		Pennsylvania	None	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	None	1
Unknown	Murder	Pennsylvania	None	0
Unknown	Violent or Tragic Deaths	Pennsylvania	Audio Only	0
night	Sounds and Noises	Pennsylvania	Audio Only	6-10
night	Ghostly Sightings	Pennsylvania	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	2-5
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	1
night	Violent or Tragic Deaths	Pennsylvania	Audio Only	10+
night	Sounds and Noises	Pennsylvania	Audio Only	6-10
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	None	0
night	Ghostly Sightings	Pennsylvania	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	1
night	Ghostly Sightings	Pennsylvania	None	1
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	1
Unknown	Violent or Tragic Deaths	Pennsylvania	Audio Only	0
night	Sounds and Noises	Pennsylvania	Audio Only	0
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
morning	Ghostly Sightings	Pennsylvania	Both	1
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	1
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	0
morning	Violent or Tragic Deaths	Pennsylvania	Audio Only	0
Unknown	Sounds and Noises	Pennsylvania	Both	1
night	Sounds and Noises	Pennsylvania	Both	2-5
night	Ghostly Sightings	Pennsylvania	Both	2-5
Unknown		Pennsylvania	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	6-10
Unknown		Pennsylvania	Visual Only	0
night		Pennsylvania	Both	0
Unknown	Ghostly Sightings	Pennsylvania	Both	2-5
Unknown	Object and Environmental Manipulation	Pennsylvania	Both	0
night	Ghostly Sightings	Pennsylvania	Audio Only	0
night		Pennsylvania	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	0
Unknown	Ghostly Sightings	Pennsylvania	None	1
night	Murder	Pennsylvania	Audio Only	1
night	Sounds and Noises	Pennsylvania	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	None	1
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	0
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	0
night	Violent or Tragic Deaths	Pennsylvania	Audio Only	1
night	Ghostly Sightings	Pennsylvania	Both	10+
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	None	0
night		Pennsylvania	Visual Only	1
night	Sounds and Noises	Pennsylvania	Both	2-5
Unknown	Ghostly Sightings	Pennsylvania	Both	1
Unknown	Sounds and Noises	Pennsylvania	Both	1
night	Murder	Pennsylvania	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	0
night	Ghostly Sightings	Pennsylvania	Both	1
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	0
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	0
night		Pennsylvania	Visual Only	0
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	0
Unknown		Pennsylvania	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	None	0
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	0
night		Pennsylvania	Audio Only	0
Unknown	Murder	Pennsylvania	None	1
Unknown		Pennsylvania	None	1
night	Ghostly Sightings	Pennsylvania	Both	2-5
night	Object and Environmental Manipulation	Pennsylvania	Audio Only	1
night	Violent or Tragic Deaths	Pennsylvania	Both	1
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	0
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	6-10
night		Pennsylvania	Both	1
night	Ghostly Sightings	Pennsylvania	Both	0
Unknown	Violent or Tragic Deaths	Pennsylvania	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	1
Unknown	Fire and Destruction	Pennsylvania	Audio Only	1
Unknown	Fire and Destruction	Pennsylvania	None	1
night	Sounds and Noises	Pennsylvania	Both	0
Unknown	Ghostly Sightings	Pennsylvania	Both	1
Unknown	Sounds and Noises	Pennsylvania	Audio Only	2-5
Unknown		Pennsylvania	Audio Only	6-10
Unknown		Pennsylvania	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	None	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	0
night	Violent or Tragic Deaths	Pennsylvania	Both	1
night	Violent or Tragic Deaths	Pennsylvania	Both	0
Unknown	Sounds and Noises	Pennsylvania	Both	0
night	Ghostly Sightings	Pennsylvania	Both	6-10
Unknown	Sounds and Noises	Pennsylvania	Both	1
night	Sounds and Noises	Pennsylvania	Audio Only	0
Unknown		Pennsylvania	Audio Only	0
night	Mysterious Occurrences	Pennsylvania	None	0
night	Violent or Tragic Deaths	Pennsylvania	None	2-5
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	1
night	Ghostly Sightings	Pennsylvania	Both	6-10
Unknown	Murder	Pennsylvania	Both	1
Unknown	Violent or Tragic Deaths	Pennsylvania	Audio Only	0
morning	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	0
Unknown	Ghostly Sightings	Pennsylvania	None	1
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
night	Violent or Tragic Deaths	Pennsylvania	Both	6-10
night	Violent or Tragic Deaths	Pennsylvania	Visual Only	6-10
night	Object and Environmental Manipulation	Pennsylvania	Both	0
night		Pennsylvania	Visual Only	0
night	Murder	Pennsylvania	Visual Only	1
night	Murder	Pennsylvania	Both	1
night	Object and Environmental Manipulation	Pennsylvania	Both	1
night	Murder	Pennsylvania	Both	1
night	Ghostly Sightings	Pennsylvania	Audio Only	0
Unknown		Pennsylvania	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	0
night	Murder	Pennsylvania	Audio Only	0
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
Unknown		Pennsylvania	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	10+
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	0
night	Violent or Tragic Deaths	Pennsylvania	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	0
night		Pennsylvania	Both	2-5
Unknown	Fire and Destruction	Pennsylvania	Audio Only	1
night	Murder	Pennsylvania	Both	1
Unknown		Pennsylvania	Audio Only	0
Unknown	Sounds and Noises	Pennsylvania	Both	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	1
Unknown	Violent or Tragic Deaths	Pennsylvania	Both	2-5
night	Ghostly Sightings	Pennsylvania	Both	1
night	Mysterious Occurrences	Pennsylvania	Both	0
night	Ghostly Sightings	Pennsylvania	Both	1
night	Fire and Destruction	Pennsylvania	Both	0
night	Ghostly Sightings	Pennsylvania	Both	1
Unknown	Murder	Pennsylvania	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	2-5
Unknown	Murder	Pennsylvania	Audio Only	1
night	Object and Environmental Manipulation	Pennsylvania	Both	0
night	Violent or Tragic Deaths	Pennsylvania	Both	0
night	Sounds and Noises	Pennsylvania	Both	2-5
night	Ghostly Sightings	Pennsylvania	Audio Only	1
Unknown	Murder	Pennsylvania	None	1
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	0
night	Fire and Destruction	Pennsylvania	None	0
night		Pennsylvania	Visual Only	6-10
Unknown	Sounds and Noises	Pennsylvania	Both	1
night		Pennsylvania	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	2-5
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
night	Ghostly Sightings	Pennsylvania	Visual Only	1
Unknown	Murder	Pennsylvania	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	1
night	Object and Environmental Manipulation	Pennsylvania	Audio Only	0
Unknown		Pennsylvania	Visual Only	1
Unknown		Pennsylvania	Visual Only	1
night	Sounds and Noises	Pennsylvania	Audio Only	1
Unknown	Mysterious Occurrences	Pennsylvania	Visual Only	0
Unknown	Sounds and Noises	Pennsylvania	Audio Only	0
night	Object and Environmental Manipulation	Pennsylvania	None	1
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	6-10
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	2-5
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	6-10
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	1
night	Violent or Tragic Deaths	Pennsylvania	Both	1
Unknown	Violent or Tragic Deaths	Pennsylvania	Visual Only	2-5
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	2-5
Unknown	Murder	Pennsylvania	None	0
night	Object and Environmental Manipulation	Pennsylvania	Both	1
night		Pennsylvania	None	0
night	Violent or Tragic Deaths	Pennsylvania	Both	0
Unknown	Sounds and Noises	Pennsylvania	Audio Only	6-10
Unknown	Fire and Destruction	Pennsylvania	Both	0
night	Ghostly Sightings	Pennsylvania	Audio Only	1
Unknown	Murder	Pennsylvania	Both	0
night	Ghostly Sightings	Pennsylvania	Audio Only	1
night	Violent or Tragic Deaths	Pennsylvania	Both	1
Unknown	Murder	Pennsylvania	Both	0
Unknown	Sounds and Noises	Pennsylvania	Both	0
Unknown	Murder	Pennsylvania	Audio Only	1
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
night	Sounds and Noises	Pennsylvania	Both	1
night	Violent or Tragic Deaths	Pennsylvania	Visual Only	10+
night		Pennsylvania	Visual Only	0
Unknown	Ghostly Sightings	Pennsylvania	None	6-10
night	Violent or Tragic Deaths	Pennsylvania	Both	0
night	Ghostly Sightings	Pennsylvania	Both	1
Unknown	Violent or Tragic Deaths	Pennsylvania	Visual Only	1
night		Pennsylvania	Visual Only	0
night	Fire and Destruction	Pennsylvania	Audio Only	0
night	Object and Environmental Manipulation	Pennsylvania	Visual Only	2-5
Unknown	Violent or Tragic Deaths	Pennsylvania	None	0
Unknown	Violent or Tragic Deaths	Pennsylvania	Visual Only	1
Unknown	Murder	Pennsylvania	Visual Only	10+
night	Sounds and Noises	Pennsylvania	Both	6-10
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	1
night	Sounds and Noises	Pennsylvania	Both	1
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
night	Violent or Tragic Deaths	Pennsylvania	Both	1
night	Sounds and Noises	Pennsylvania	Both	0
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Pennsylvania	None	0
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	0
Unknown	Ghostly Sightings	Pennsylvania	Both	0
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	0
night	Murder	Pennsylvania	Audio Only	6-10
night	Ghostly Sightings	Pennsylvania	None	0
night		Pennsylvania	None	1
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	0
Unknown	Murder	Pennsylvania	Audio Only	0
Unknown	Murder	Pennsylvania	Both	0
night	Violent or Tragic Deaths	Pennsylvania	Both	1
night	Murder	Pennsylvania	Both	1
night	Mysterious Occurrences	Pennsylvania	Both	1
night	Murder	Pennsylvania	None	2-5
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	0
Unknown	Ghostly Sightings	Pennsylvania	Both	1
Unknown	Murder	Pennsylvania	None	0
night	Object and Environmental Manipulation	Pennsylvania	Visual Only	0
night	Ghostly Sightings	Pennsylvania	Both	2-5
night	Murder	Pennsylvania	Both	1
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	None	0
night	Ghostly Sightings	Pennsylvania	Visual Only	1
Unknown	Object and Environmental Manipulation	Pennsylvania	Both	6-10
Unknown	Murder	Pennsylvania	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	2-5
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	2-5
night	Sounds and Noises	Pennsylvania	Audio Only	2-5
Unknown	Ghostly Sightings	Pennsylvania	None	0
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
night	Ghostly Sightings	Pennsylvania	Audio Only	0
night	Mysterious Occurrences	Pennsylvania	Both	1
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	0
Unknown	Sounds and Noises	Pennsylvania	Both	0
Unknown	Murder	Pennsylvania	Visual Only	0
Unknown		Pennsylvania	Audio Only	1
night	Object and Environmental Manipulation	Pennsylvania	Visual Only	1
morning		Pennsylvania	Audio Only	2-5
night	Violent or Tragic Deaths	Pennsylvania	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	0
Unknown		Pennsylvania	Visual Only	6-10
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	0
night	Object and Environmental Manipulation	Pennsylvania	None	1
night	Violent or Tragic Deaths	Pennsylvania	Both	1
Unknown	Sounds and Noises	Pennsylvania	Both	1
Unknown	Sounds and Noises	Pennsylvania	Both	1
Unknown		Pennsylvania	Visual Only	1
night	Murder	Pennsylvania	Visual Only	10+
Unknown	Object and Environmental Manipulation	Pennsylvania	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	None	1
night	Violent or Tragic Deaths	Pennsylvania	Audio Only	1
night	Ghostly Sightings	Pennsylvania	Visual Only	0
Unknown	Sounds and Noises	Pennsylvania	Audio Only	1
night	Ghostly Sightings	Pennsylvania	Both	1
Unknown	Violent or Tragic Deaths	Pennsylvania	Visual Only	6-10
night	Ghostly Sightings	Pennsylvania	Visual Only	6-10
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	1
Unknown	Murder	Pennsylvania	Both	1
morning	Fire and Destruction	Pennsylvania	Both	1
night	Sounds and Noises	Pennsylvania	Both	1
Unknown	Murder	Pennsylvania	Audio Only	1
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
night		Pennsylvania	None	1
Unknown	Ghostly Sightings	Pennsylvania	None	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	1
Unknown	Violent or Tragic Deaths	Pennsylvania	Visual Only	0
Unknown	Ghostly Sightings	Pennsylvania	None	1
night	Ghostly Sightings	Pennsylvania	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	0
Unknown	Violent or Tragic Deaths	Pennsylvania	Audio Only	1
Unknown	Sounds and Noises	Pennsylvania	Both	0
Unknown	Murder	Pennsylvania	Both	0
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	0
afternoon	Murder	Pennsylvania	Visual Only	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	1
night	Violent or Tragic Deaths	Pennsylvania	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	1
Unknown	Violent or Tragic Deaths	Pennsylvania	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	1
Unknown	Violent or Tragic Deaths	Pennsylvania	Audio Only	2-5
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	0
Unknown	Ghostly Sightings	Pennsylvania	Both	1
night	Violent or Tragic Deaths	Pennsylvania	None	6-10
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	2-5
Unknown	Violent or Tragic Deaths	Pennsylvania	Visual Only	1
night	Sounds and Noises	Pennsylvania	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	None	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	1
Unknown	Murder	Pennsylvania	Visual Only	2-5
Unknown	Sounds and Noises	Pennsylvania	Both	0
night	Object and Environmental Manipulation	Pennsylvania	None	1
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Audio Only	0
night	Ghostly Sightings	Pennsylvania	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Visual Only	0
Unknown	Ghostly Sightings	Pennsylvania	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	0
night		Pennsylvania	Audio Only	0
night	Sounds and Noises	Pennsylvania	Both	10+
Unknown	Ghostly Sightings	Pennsylvania	Both	1
Unknown		Pennsylvania	Both	0
Unknown		Pennsylvania	Visual Only	0
night	Fire and Destruction	Pennsylvania	Audio Only	1
Unknown	Sounds and Noises	Pennsylvania	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	Both	6-10
Unknown	Ghostly Sightings	Pennsylvania	Visual Only	1
Unknown	Ghostly Sightings	Pennsylvania	Both	1
Unknown	Violent or Tragic Deaths	Pennsylvania	Both	1
night	Object and Environmental Manipulation	Pennsylvania	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Pennsylvania	None	1
night	Ghostly Sightings	Pennsylvania	Visual Only	1
night	Ghostly Sightings	Pennsylvania	Audio Only	0
